0,CombatZoneResize,241,226,406,391,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,
0,HeartMode,0,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,,
0,ADD,Y2,$HeartY,100,,,,,,,,
0,ADD,X2,$HeartX,100,,,,,,,,
0,GasterBlaster,1,$HeartX,0,$HeartX,$Y,90,0,0,2,0,
0,GasterBlaster,1,640,$HeartY,$X2,$HeartY,180,0,0,2,0,
0,GasterBlaster,1,$HeartX,480,$HeartX,$Y2,-90,0,0,2,0,
0,GasterBlaster,1,0,$HeartY,$X,$HeartY,0,0,0,2,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X3,$HeartX,100,,,,,,,,
0,SUB,Y3,$HeartY,100,,,,,,,,
0,ADD,Y4,$HeartY,100,,,,,,,,
0,ADD,X4,$HeartX,100,,,,,,,,
0,GasterBlaster,1,0,0,$X3,$Y3,45,0,0,1,0,
0,GasterBlaster,1,640,0,$X4,$Y3,135,0,0,1,0,
0,GasterBlaster,1,0,480,$X3,$Y4,-45,0,0,1,0,
0,GasterBlaster,1,640,480,$X4,$Y4,-135,0,0,1,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X5,$HeartX,50,,,,,,,,
0,SUB,Y5,$HeartY,50,,,,,,,,
0,ADD,Y6,$HeartY,50,,,,,,,,
0,ADD,X6,$HeartX,50,,,,,,,,
0,GasterBlaster,1,0,0,$X5,$Y5,90,0,0,2,0,
0,GasterBlaster,1,640,0,$X6,$Y5,180,0,0,1,0,
0,GasterBlaster,1,0,480,$X5,$Y6,0,0,0,2,0,
0,GasterBlaster,1,640,480,$X6,$Y6,-90,0,0,1,0,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,,
0,ADD,Y2,$HeartY,100,,,,,,,,
0,ADD,X2,$HeartX,100,,,,,,,,
0,GasterBlaster,1,$HeartX,0,$HeartX,$Y,90,0,0,0,1,0,
0,GasterBlaster,1,640,$HeartY,$X2,$HeartY,180,0,0,2,0,
0,GasterBlaster,1,$HeartX,480,$HeartX,$Y2,-90,0,0,2,0,
0,GasterBlaster,1,0,$HeartY,$X,$HeartY,0,0,0,1,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X3,$HeartX,100,,,,,,,,
0,SUB,Y3,$HeartY,100,,,,,,,,
0,ADD,Y4,$HeartY,100,,,,,,,,
0,ADD,X4,$HeartX,100,,,,,,,,
0,GasterBlaster,1,0,0,$X3,$Y3,45,0,0,2,0,
0,GasterBlaster,1,640,0,$X4,$Y3,135,0,0,1,0,
0,GasterBlaster,1,0,480,$X3,$Y4,-45,0,0,1,0,
0,GasterBlaster,1,640,480,$X4,$Y4,-135,0,0,2,0,
0.2,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X5,$HeartX,50,,,,,,,,
0,SUB,Y5,$HeartY,50,,,,,,,,
0,ADD,Y6,$HeartY,50,,,,,,,,
0,ADD,X6,$HeartX,50,,,,,,,,
0,GasterBlaster,1,0,0,$X5,$Y5,90,0,0,1,0,
0,GasterBlaster,1,640,0,$X6,$Y5,180,0,0,1,0,
